
1,10,14.034979,13.429501
2,10,14.034979,19.595002
3,10,14.034982,13.082628
4,10,14.034979,24.699227
8,10,14.034979,2.264247
16,10,14.034975,1.945935
32,10,14.034982,1.030293
64,10,14.034982,0.333995
128,10,14.034976,0.260345
1,20,14.056284,15.344346
2,20,14.056281,25.287511
3,20,14.056276,21.871779
4,20,14.056279,32.096614
8,20,14.056279,6.423159
16,20,14.056274,5.482829
32,20,14.056282,2.630348
64,20,14.056287,2.088897
128,20,14.056274,0.603373
1,30,14.059824,15.000678
2,30,14.059830,26.641283
3,30,14.059830,25.095920
4,30,14.059825,32.172293
8,30,14.059828,10.273885
16,30,14.059828,7.957416
32,30,14.059822,6.644601
64,30,14.059825,1.950032
128,30,14.059825,2.377582
1,40,14.061018,14.693143
2,40,14.061018,26.401508
3,40,14.061028,25.823352
4,40,14.061021,34.161910
8,40,14.061021,13.927054
16,40,14.061023,17.025620
32,40,14.061028,5.165866
64,40,14.061040,6.524984
128,40,14.061020,2.975569
1,50,14.061560,12.356802
2,50,14.061568,27.455517
3,50,14.061571,27.331343
4,50,14.061566,33.370154
8,50,14.061565,15.001055
16,50,14.061562,13.371171
32,50,14.061565,12.877053
64,50,14.061555,8.451092
128,50,14.061555,5.517115
1,60,14.061865,12.274953
2,60,14.061853,28.200613
3,60,14.061859,24.702261
4,60,14.061858,25.202945
8,60,14.061861,16.822649
16,60,14.061850,14.827670
32,60,14.061853,13.255500
64,60,14.061845,3.599508
128,60,14.061864,6.704204
1,70,14.062029,12.211205
2,70,14.062041,26.341713
3,70,14.062029,26.251894
4,70,14.062035,34.831682
8,70,14.062022,17.517693
16,70,14.062027,11.130429
32,70,14.062029,16.210208
64,70,14.062029,13.541188
128,70,14.062035,7.268797
1,80,14.062148,8.897332
2,80,14.062140,27.408706
3,80,14.062138,23.112038
4,80,14.062146,33.071819
8,80,14.062140,19.372876
16,80,14.062135,8.027855
32,80,14.062148,17.337985
64,80,14.062132,13.241674
128,80,14.062151,8.779109
1,90,14.062224,14.759313
2,90,14.062218,17.439409
3,90,14.062215,27.188252
4,90,14.062212,37.175588
8,90,14.062216,22.586806
16,90,14.062213,15.936421
32,90,14.062212,19.365675
64,90,14.062224,18.164319
128,90,14.062219,10.667215
1,100,14.062247,10.331504
2,100,14.062262,29.325877
3,100,14.062265,19.725395
4,100,14.062277,36.304409
8,100,14.062270,11.976007
16,100,14.062268,20.005679
32,100,14.062268,12.351942
64,100,14.062268,19.631838
128,100,14.062254,13.406597
1,200,14.062410,15.419373
2,200,14.062448,17.779151
3,200,14.062440,27.633004
4,200,14.062444,24.428695
8,200,14.062447,23.106401
16,200,14.062448,27.454212
32,200,14.062442,27.250254
64,200,14.062448,24.931693
128,200,14.062442,16.437218
1,300,14.062479,15.562066
2,300,14.062463,29.243099
3,300,14.062471,28.198123
4,300,14.062471,29.727064
8,300,14.062463,26.421840
16,300,14.062471,24.415112
32,300,14.062463,31.568416
64,300,14.062469,28.230548
128,300,14.062476,22.384865
1,400,14.062514,15.220840
2,400,14.062477,26.824563
3,400,14.062489,27.980605
4,400,14.062471,38.431535
8,400,14.062495,31.984096
16,400,14.062477,32.141170
32,400,14.062488,30.590352
64,400,14.062492,34.726040
128,400,14.062476,31.700797
1,500,14.062440,15.647989
2,500,14.062538,29.934197
3,500,14.062448,26.685015
4,500,14.062491,32.574888
8,500,14.062486,31.510964
16,500,14.062500,32.412033
32,500,14.062488,32.898408
64,500,14.062502,31.196571
128,500,14.062505,27.997921
1,600,14.062387,14.919739
2,600,14.062537,25.307829
3,600,14.062410,28.893286
4,600,14.062473,35.226852
8,600,14.062494,33.946342
16,600,14.062491,33.582872
32,600,14.062485,33.526953
64,600,14.062477,32.559127
128,600,14.062494,30.628527
1,700,14.062338,14.257440
2,700,14.062665,28.839353
3,700,14.062486,28.298929
4,700,14.062534,36.142404
8,700,14.062512,34.922769
16,700,14.062479,35.741139
32,700,14.062492,32.821291
64,700,14.062492,32.532750
128,700,14.062495,32.029022
1,800,14.061662,15.646647
2,800,14.062189,20.257769
3,800,14.062326,28.712282
4,800,14.062480,36.413041
8,800,14.062479,33.900085
16,800,14.062502,33.794777
32,800,14.062502,33.407604
64,800,14.062498,32.443035
128,800,14.062489,31.703649
1,900,14.061632,15.018623
2,900,14.062305,28.436478
3,900,14.062291,26.813214
4,900,14.062378,34.144117
8,900,14.062457,32.103699
16,900,14.062498,32.732851
32,900,14.062502,32.867835
64,900,14.062497,31.682266
128,900,14.062498,30.917080
1,1000,14.062201,13.623694
2,1000,14.062050,27.210579
3,1000,14.062979,26.878589
4,1000,14.062180,34.816007
8,1000,14.062506,32.143283
16,1000,14.062514,32.335430
32,1000,14.062500,33.539057
64,1000,14.062508,32.750824
128,1000,14.062505,32.630270
1,2000,14.019707,11.770414
2,2000,14.068620,18.246885
3,2000,14.059271,24.294321
4,2000,14.061322,31.733752
8,2000,14.061409,25.741061
16,2000,14.062460,22.240585
32,2000,14.062552,25.899081
64,2000,14.062505,31.117553
128,2000,14.062491,31.370183
1,3000,14.162790,13.850407
2,3000,14.125290,24.215982
3,3000,14.039651,17.762482
4,3000,14.048845,22.625091
8,3000,14.063840,22.040670
16,3000,14.063823,22.587127
32,3000,14.062000,22.519549
64,3000,14.062553,22.579125
128,3000,14.062492,22.465590
1,4000,13.716696,8.813114
2,4000,14.055008,17.637889
3,4000,14.081351,17.802362
4,4000,14.005821,22.726499
8,4000,14.056485,22.530331
16,4000,14.064981,22.625185
32,4000,14.062566,22.616069
64,4000,14.062755,22.591235
128,4000,14.062511,22.571940
1,5000,14.342070,8.812985
2,5000,14.039001,17.624985
3,5000,14.190932,17.110653
4,5000,14.049847,22.676784
8,5000,14.033980,22.589754
16,5000,14.080054,22.623029
32,5000,14.060536,22.672312
64,5000,14.063197,22.615123
128,5000,14.062607,22.654763
