6553600,8,0.642432,0.6303
6553600,10,0.761603,0.713224
6553600,16,1.05845,0.815662
6553600,20,0.748636,0.7004
6553600,25,0.794654,0.426807
6553600,32,0.995054,0.766693
6553600,40,0.837095,0.742805
6553600,50,0.845578,0.724054
6553600,64,1.10888,0.838433
6553600,80,1.01458,0.800196
6553600,100,0.877876,0.693914
6553600,128,1.08817,0.627124
6553600,160,1.0868,0.618019
6553600,200,0.874166,0.722416
6553600,256,0.889467,0.779594
6553600,320,1.0487,0.685461
6553600,400,1.09214,0.779057
6553600,512,1.01845,0.807011
